Asset,Precision,Recall,Expectancy,Folds
DOGEUSDT,0.7183181664981463,0.049994935160735623,0.01154954499494439,2
LINKUSDT,0.6323909897531099,0.06919512434635308,0.008971729692593295,2
AVAXUSDT,0.6025039123630673,0.05203405865657521,0.008075117370892022,1
LTCUSDT,0.5980629539951574,0.06263471535438063,0.007941888619854722,1
ETHUSDT,0.5660377358490566,0.11214953271028037,0.006981132075471697,1
SOLUSDT,0.5292353823088456,0.13317404426559357,0.005877061469265369,1
XRPUSDT,0.47629157820240625,0.09130375797042464,0.004288747346072186,1
BNBUSDT,0.45376450337880914,0.11297859832049711,0.0036129351013642727,2
ADAUSDT,0.35853658536585364,0.009939148073022312,0.0007560975609756087,2
